EC_key	rows	file
2.1.1.312	1	MT_uniprot_EC_2.1.1.312.tsv
2.1.1.313	1	MT_uniprot_EC_2.1.1.313.tsv
2.1.1.315	1	MT_uniprot_EC_2.1.1.315.tsv
2.1.1.316	1	MT_uniprot_EC_2.1.1.316.tsv
2.1.1.318	1	MT_uniprot_EC_2.1.1.318.tsv
2.1.1.323	1	MT_uniprot_EC_2.1.1.323.tsv
2.1.1.324	1	MT_uniprot_EC_2.1.1.324.tsv
2.1.1.327	1	MT_uniprot_EC_2.1.1.327.tsv
2.1.1.328	1	MT_uniprot_EC_2.1.1.328.tsv
2.1.1.330	1	MT_uniprot_EC_2.1.1.330.tsv
2.1.1.331	1	MT_uniprot_EC_2.1.1.331.tsv
2.1.1.332	1	MT_uniprot_EC_2.1.1.332.tsv
2.1.1.333	1	MT_uniprot_EC_2.1.1.333.tsv
2.1.1.335	1	MT_uniprot_EC_2.1.1.335.tsv
2.1.1.337	1	MT_uniprot_EC_2.1.1.337.tsv
2.1.1.339	1	MT_uniprot_EC_2.1.1.339.tsv
2.1.1.340	1	MT_uniprot_EC_2.1.1.340.tsv
2.1.1.342	1	MT_uniprot_EC_2.1.1.342.tsv
2.1.1.343	1	MT_uniprot_EC_2.1.1.343.tsv
2.1.1.344	1	MT_uniprot_EC_2.1.1.344.tsv
2.1.1.347	1	MT_uniprot_EC_2.1.1.347.tsv
2.1.1.351	1	MT_uniprot_EC_2.1.1.351.tsv
2.1.1.352	1	MT_uniprot_EC_2.1.1.352.tsv
2.1.1.353	1	MT_uniprot_EC_2.1.1.353.tsv
2.1.1.365	1	MT_uniprot_EC_2.1.1.365.tsv
2.1.1.375	1	MT_uniprot_EC_2.1.1.375.tsv
2.1.1.38	1	MT_uniprot_EC_2.1.1.38.tsv
2.1.1.380	1	MT_uniprot_EC_2.1.1.380.tsv
2.1.1.381	1	MT_uniprot_EC_2.1.1.381.tsv
2.1.1.387	1	MT_uniprot_EC_2.1.1.387.tsv
2.1.1.392	1	MT_uniprot_EC_2.1.1.392.tsv
2.1.1.393	1	MT_uniprot_EC_2.1.1.393.tsv
2.1.1.394	1	MT_uniprot_EC_2.1.1.394.tsv
2.1.1.397	1	MT_uniprot_EC_2.1.1.397.tsv
2.1.1.400	1	MT_uniprot_EC_2.1.1.400.tsv
2.1.1.47	1	MT_uniprot_EC_2.1.1.47.tsv
2.1.1.50	1	MT_uniprot_EC_2.1.1.50.tsv
2.1.1.65	1	MT_uniprot_EC_2.1.1.65.tsv
2.1.1.70	1	MT_uniprot_EC_2.1.1.70.tsv
2.1.1.75	1	MT_uniprot_EC_2.1.1.75.tsv
2.1.1.88	1	MT_uniprot_EC_2.1.1.88.tsv
2.1.1.94	1	MT_uniprot_EC_2.1.1.94.tsv
2.1.1.99	1	MT_uniprot_EC_2.1.1.99.tsv
2.3.1.235	1	MT_uniprot_EC_2.3.1.235.tsv
2.5.1.18	1	MT_uniprot_EC_2.5.1.18.tsv
2.7.7.88	1	MT_uniprot_EC_2.7.7.88.tsv
3.6.1.9	1	MT_uniprot_EC_3.6.1.9.tsv
4.2.1.75	1	MT_uniprot_EC_4.2.1.75.tsv
5.4.99.60	1	MT_uniprot_EC_5.4.99.60.tsv
6.3.3.3	1	MT_uniprot_EC_6.3.3.3.tsv
